ID,X,Y,Z,TxPowerdBm,Hdirection,VTilt,Active,Alias
0,0.000000,0.000000,25.000000,38.375000,60.000000,6.3,1,0
1,499.999999,-0.000001,25.000000,38.375000,60.000000,6.3,1,1
2,249.999999,433.012700,25.000000,38.375000,60.000000,6.3,1,2
3,-250.000001,433.012701,25.000000,38.375000,60.000000,6.3,1,3
4,-499.999999,0.000001,25.000000,38.375000,60.000000,6.3,1,4
5,-249.999999,-433.012700,25.000000,38.375000,60.000000,6.3,1,5
6,250.000001,-433.012701,25.000000,38.375000,60.000000,6.3,1,6
7,999.999999,-0.000002,25.000000,38.375000,60.000000,6.3,1,7
8,749.999998,433.012699,25.000000,38.375000,60.000000,6.3,1,8
9,499.999998,866.025400,25.000000,38.375000,60.000000,6.3,1,9
10,-0.000002,866.025401,25.000000,38.375000,60.000000,6.3,1,10
11,-500.000001,866.025402,25.000000,38.375000,60.000000,6.3,1,11
12,-750.000000,433.012702,25.000000,38.375000,60.000000,6.3,1,12
13,-999.999999,0.000002,25.000000,38.375000,60.000000,6.3,1,13
14,-749.999998,-433.012699,25.000000,38.375000,60.000000,6.3,1,14
15,-499.999998,-866.025400,25.000000,38.375000,60.000000,6.3,1,15
16,0.000002,-866.025401,25.000000,38.375000,60.000000,6.3,1,16
17,500.000001,-866.025402,25.000000,38.375000,60.000000,6.3,1,17
18,750.000000,-433.012702,25.000000,38.375000,60.000000,6.3,1,18
19,1499.999998,-0.000003,25.000000,38.375000,60.000000,6.3,1,11
20,1249.999998,433.012698,25.000000,38.375000,60.000000,6.3,1,14
21,999.999997,866.025399,25.000000,38.375000,60.000000,6.3,1,13
22,749.999997,1299.038100,25.000000,38.375000,60.000000,6.3,1,17
23,249.999997,1299.038101,25.000000,38.375000,60.000000,6.3,1,16
24,-250.000002,1299.038102,25.000000,38.375000,60.000000,6.3,1,15
25,-750.000002,1299.038103,25.000000,38.375000,60.000000,6.3,1,7
26,-1000.000001,866.025403,25.000000,38.375000,60.000000,6.3,1,18
27,-1249.999999,433.012703,25.000000,38.375000,60.000000,6.3,1,17
28,-1499.999998,0.000003,25.000000,38.375000,60.000000,6.3,1,9
29,-1249.999998,-433.012698,25.000000,38.375000,60.000000,6.3,1,8
30,-999.999997,-866.025399,25.000000,38.375000,60.000000,6.3,1,7
31,-749.999997,-1299.038100,25.000000,38.375000,60.000000,6.3,1,11
32,-249.999997,-1299.038101,25.000000,38.375000,60.000000,6.3,1,10
33,250.000002,-1299.038102,25.000000,38.375000,60.000000,6.3,1,9
34,750.000002,-1299.038103,25.000000,38.375000,60.000000,6.3,1,13
35,1000.000001,-866.025403,25.000000,38.375000,60.000000,6.3,1,12
36,1249.999999,-433.012703,25.000000,38.375000,60.000000,6.3,1,11
37,1999.999998,-0.000004,25.000000,38.375000,60.000000,6.3,1,16
38,1749.999997,433.012697,25.000000,38.375000,60.000000,6.3,1,5
39,1499.999997,866.025398,25.000000,38.375000,60.000000,6.3,1,4
