ID,X,Y,Z,HDirection,HWidth,VTilt
61 , 2499.999997 , -0.000005 , 25.000000 , 60.000000 , 65.000000 , 6.300000
62 , 2249.999997 , 433.012696 , 25.000000 , 60.000000 , 65.000000 , 6.300000
63 , 1999.999996 , 866.025397 , 25.000000 , 60.000000 , 65.000000 , 6.300000
64 , 1749.999996 , 1299.038098 , 25.000000 , 60.000000 , 65.000000 , 6.300000
65 , 1499.999995 , 1732.050799 , 25.000000 , 60.000000 , 65.000000 , 6.300000
66 , 1249.999995 , 2165.063500 , 25.000000 , 60.000000 , 65.000000 , 6.300000
67 , 749.999995 , 2165.063501 , 25.000000 , 60.000000 , 65.000000 , 6.300000
68 , 249.999996 , 2165.063502 , 25.000000 , 60.000000 , 65.000000 , 6.300000
69 , -250.000004 , 2165.063503 , 25.000000 , 60.000000 , 65.000000 , 6.300000
70 , -750.000003 , 2165.063504 , 25.000000 , 60.000000 , 65.000000 , 6.300000
71 , -1250.000003 , 2165.063505 , 25.000000 , 60.000000 , 65.000000 , 6.300000
72 , -1500.000002 , 1732.050805 , 25.000000 , 60.000000 , 65.000000 , 6.300000
73 , -1750.000001 , 1299.038105 , 25.000000 , 60.000000 , 65.000000 , 6.300000
74 , -1999.999999 , 866.025405 , 25.000000 , 60.000000 , 65.000000 , 6.300000
75 , -2249.999998 , 433.012705 , 25.000000 , 60.000000 , 65.000000 , 6.300000
76 , -2499.999997 , 0.000005 , 25.000000 , 60.000000 , 65.000000 , 6.300000
77 , -2249.999997 , -433.012696 , 25.000000 , 60.000000 , 65.000000 , 6.300000
78 , -1999.999996 , -866.025397 , 25.000000 , 60.000000 , 65.000000 , 6.300000
79 , -1749.999996 , -1299.038098 , 25.000000 , 60.000000 , 65.000000 , 6.300000
80 , -1499.999995 , -1732.050799 , 25.000000 , 60.000000 , 65.000000 , 6.300000
81 , -1249.999995 , -2165.063500 , 25.000000 , 60.000000 , 65.000000 , 6.300000
82 , -749.999995 , -2165.063501 , 25.000000 , 60.000000 , 65.000000 , 6.300000
83 , -249.999996 , -2165.063502 , 25.000000 , 60.000000 , 65.000000 , 6.300000
84 , 250.000004 , -2165.063503 , 25.000000 , 60.000000 , 65.000000 , 6.300000
85 , 750.000003 , -2165.063504 , 25.000000 , 60.000000 , 65.000000 , 6.300000
86 , 1250.000003 , -2165.063505 , 25.000000 , 60.000000 , 65.000000 , 6.300000
87 , 1500.000002 , -1732.050805 , 25.000000 , 60.000000 , 65.000000 , 6.300000
88 , 1750.000001 , -1299.038105 , 25.000000 , 60.000000 , 65.000000 , 6.300000
89 , 1999.999999 , -866.025405 , 25.000000 , 60.000000 , 65.000000 , 6.300000
90 , 2249.999998 , -433.012705 , 25.000000 , 60.000000 , 65.000000 , 6.300000
91 , 2749.999996 , 433.012695 , 25.000000 , 60.000000 , 65.000000 , 6.300000
92 , 2499.999996 , 866.025396 , 25.000000 , 60.000000 , 65.000000 , 6.300000
93 , 2249.999995 , 1299.038097 , 25.000000 , 60.000000 , 65.000000 , 6.300000
94 , 1999.999995 , 1732.050798 , 25.000000 , 60.000000 , 65.000000 , 6.300000
95 , 999.999994 , 2598.076201 , 25.000000 , 60.000000 , 65.000000 , 6.300000
96 , 499.999995 , 2598.076202 , 25.000000 , 60.000000 , 65.000000 , 6.300000
97 , -0.000005 , 2598.076203 , 25.000000 , 60.000000 , 65.000000 , 6.300000
98 , -500.000004 , 2598.076204 , 25.000000 , 60.000000 , 65.000000 , 6.300000
99 , -1750.000002 , 2165.063506 , 25.000000 , 60.000000 , 65.000000 , 6.300000
100 , -2000.000001 , 1732.050806 , 25.000000 , 60.000000 , 65.000000 , 6.300000
101 , -2250.000000 , 1299.038106 , 25.000000 , 60.000000 , 65.000000 , 6.300000
102 , -2499.999999 , 866.025406 , 25.000000 , 60.000000 , 65.000000 , 6.300000
103 , -2749.999996 , -433.012695 , 25.000000 , 60.000000 , 65.000000 , 6.300000
104 , -2499.999996 , -866.025396 , 25.000000 , 60.000000 , 65.000000 , 6.300000
105 , -2249.999995 , -1299.038097 , 25.000000 , 60.000000 , 65.000000 , 6.300000
106 , -1999.999995 , -1732.050798 , 25.000000 , 60.000000 , 65.000000 , 6.300000
107 , -999.999994 , -2598.076201 , 25.000000 , 60.000000 , 65.000000 , 6.300000
108 , -499.999995 , -2598.076202 , 25.000000 , 60.000000 , 65.000000 , 6.300000
109 , 0.000005 , -2598.076203 , 25.000000 , 60.000000 , 65.000000 , 6.300000
110 , 500.000004 , -2598.076204 , 25.000000 , 60.000000 , 65.000000 , 6.300000
111 , 1750.000002 , -2165.063506 , 25.000000 , 60.000000 , 65.000000 , 6.300000
112 , 2000.000001 , -1732.050806 , 25.000000 , 60.000000 , 65.000000 , 6.300000
113 , 2250.000000 , -1299.038106 , 25.000000 , 60.000000 , 65.000000 , 6.300000
114 , 2499.999999 , -866.025406 , 25.000000 , 60.000000 , 65.000000 , 6.300000
115 , 2999.999995 , 866.025395 , 25.000000 , 60.000000 , 65.000000 , 6.300000
116 , 2749.999995 , 1299.038096 , 25.000000 , 60.000000 , 65.000000 , 6.300000
117 , 2499.999994 , 1732.050797 , 25.000000 , 60.000000 , 65.000000 , 6.300000
118 , 249.999994 , 3031.088903 , 25.000000 , 60.000000 , 65.000000 , 6.300000
119 , -250.000005 , 3031.088904 , 25.000000 , 60.000000 , 65.000000 , 6.300000
120 , -2500.000001 , 1732.050807 , 25.000000 , 60.000000 , 65.000000 , 6.300000
121 , -2749.999999 , 1299.038107 , 25.000000 , 60.000000 , 65.000000 , 6.300000
122 , -2749.999995 , -1299.038096 , 25.000000 , 60.000000 , 65.000000 , 6.300000
123 , -2499.999994 , -1732.050797 , 25.000000 , 60.000000 , 65.000000 , 6.300000
124 , -249.999994 , -3031.088903 , 25.000000 , 60.000000 , 65.000000 , 6.300000
125 , 250.000005 , -3031.088904 , 25.000000 , 60.000000 , 65.000000 , 6.300000
126 , 2500.000001 , -1732.050807 , 25.000000 , 60.000000 , 65.000000 , 6.300000
