ID,X,Y,Z,Indoor,InCar,BSdist,GCellID
384,-143.919154,194.757613,1.500000,1,0,243.301255,0
385,108.808221,223.259268,1.500000,1,0,249.471801,0
386,-58.710625,-222.506144,1.500000,1,0,231.318334,0
387,68.198165,210.418142,1.500000,0,0,222.438833,0
388,-206.123090,-25.648518,1.500000,1,0,209.037855,0
389,-38.194221,187.851782,1.500000,0,0,193.130372,0
390,67.542731,-121.274585,1.500000,1,0,140.789899,0
391,187.680073,112.854912,1.500000,1,0,220.255059,0
392,-27.566437,-126.998532,1.500000,1,0,132.063567,0
393,200.335919,166.133545,1.500000,1,0,261.317977,0
394,-130.107974,68.068821,1.500000,0,0,148.706756,0
395,156.449730,-138.074225,1.500000,1,0,209.983951,0
396,88.154319,38.608146,1.500000,1,0,99.065750,0
397,-32.235591,34.112274,1.500000,1,0,52.488385,0
398,-99.559418,1.984310,1.500000,1,0,102.314540,0
399,-126.512826,108.843194,1.500000,1,0,168.536602,0
400,126.974262,97.822020,1.500000,1,0,161.999570,0
401,9.158208,-21.699741,1.500000,1,0,33.271632,0
402,-102.717657,61.567334,1.500000,1,0,122.039762,0
403,-147.025150,77.672122,1.500000,1,0,167.933330,0
404,-196.592680,-75.652027,1.500000,1,0,211.953205,0
405,78.216436,126.376678,1.500000,0,0,150.469684,0
406,206.629144,14.278310,1.500000,1,0,208.450770,0
407,34.730747,4.825528,1.500000,1,0,42.210905,0
408,65.250664,221.725646,1.500000,0,0,232.319093,0
409,-130.479505,-32.862516,1.500000,1,0,136.590981,0
410,-64.173772,168.334827,1.500000,1,0,181.678664,0
411,154.403246,116.022891,1.500000,1,0,194.560848,0
412,1.570665,-113.123397,1.500000,0,0,115.549210,0
413,123.590058,-177.014047,1.500000,1,0,217.165203,0
414,174.803747,31.090430,1.500000,0,0,179.095547,0
415,-233.046365,12.731348,1.500000,1,0,234.573966,0
416,96.442197,169.783420,1.500000,0,0,196.671698,0
417,-155.937457,170.718480,1.500000,0,0,232.408132,0
418,-175.820804,28.093535,1.500000,0,0,179.595245,0
419,11.549161,-134.526514,1.500000,1,0,137.051144,0
420,110.171982,78.245178,1.500000,1,0,137.158388,0
421,80.867577,-64.065713,1.500000,1,0,105.812242,0
422,46.937414,-232.202133,1.500000,1,0,238.061340,0
423,-66.358546,27.475143,1.500000,1,0,75.568446,0
424,155.032845,-133.802674,1.500000,1,0,206.132454,0
425,-235.663538,72.909831,1.500000,0,0,247.801123,0
426,-115.647251,37.382520,1.500000,1,0,123.790102,0
427,132.098348,74.613402,1.500000,0,0,153.523234,0
428,174.028676,136.610702,1.500000,1,0,222.487559,0
429,170.811258,44.696373,1.500000,0,0,178.119347,0
430,1.921147,254.806451,1.500000,1,0,255.895033,0
431,42.659289,-129.184192,1.500000,1,0,138.060206,0
432,232.054537,-95.493746,1.500000,0,0,252.032962,0
433,-116.990672,-212.737420,1.500000,1,0,243.918587,0
434,159.952724,182.719362,1.500000,1,0,243.974362,0
435,92.446080,14.691282,1.500000,1,0,96.510939,0
436,-131.052304,-182.709191,1.500000,1,0,226.074335,0
437,-157.915409,144.222009,1.500000,0,0,215.149981,0
438,102.906938,139.023784,1.500000,1,0,174.555723,0
439,67.797143,102.195830,1.500000,0,0,124.870694,0
440,-176.653616,-114.482179,1.500000,1,0,211.813407,0
441,208.745340,-51.198993,1.500000,1,0,216.213330,0
442,-127.597799,-178.627911,1.500000,1,0,220.774498,0
443,10.800239,-75.162177,1.500000,1,0,79.487408,0
444,35.287019,-93.954668,1.500000,1,0,103.077172,0
445,-93.578322,67.211300,1.500000,1,0,117.586186,0
446,149.983007,-91.562486,1.500000,1,0,177.287454,0
447,-174.383777,183.684764,1.500000,0,0,254.365965,0
448,-187.058686,-115.078869,1.500000,1,0,220.876319,0
449,92.569112,70.681410,1.500000,1,0,118.815623,0
450,194.543409,-156.358934,1.500000,1,0,250.694045,0
451,-74.962571,210.537050,1.500000,1,0,224.716458,0
452,104.500624,51.858262,1.500000,1,0,119.003823,0
453,71.750885,-60.919939,1.500000,1,0,97.013806,0
454,-86.203759,173.047499,1.500000,1,0,194.753113,0
455,158.867873,-153.842245,1.500000,1,0,222.393092,0
456,198.156396,-52.529404,1.500000,1,0,206.343271,0
457,97.756556,-61.294113,1.500000,1,0,117.752123,0
458,-244.619029,-49.351390,1.500000,1,0,250.651708,0
459,-215.841221,-17.353929,1.500000,1,0,217.809186,0
460,189.372408,45.145076,1.500000,1,0,196.092419,0
461,23.338062,-129.307321,1.500000,1,0,133.481453,0
462,174.350925,102.887571,1.500000,0,0,203.804679,0
463,151.650789,183.891603,1.500000,1,0,239.512699,0
464,-219.733070,13.018331,1.500000,1,0,221.369260,0
465,239.736375,106.794379,1.500000,1,0,263.497285,0
466,35.612961,57.018563,1.500000,1,0,71.215514,0
467,36.696323,108.758523,1.500000,1,0,117.163503,0
468,-220.212427,91.408357,1.500000,1,0,239.585581,0
469,182.519911,93.775879,1.500000,1,0,206.542207,0
470,-78.772620,45.943932,1.500000,1,0,94.171230,0
471,66.135977,108.553302,1.500000,1,0,129.267307,0
472,174.403037,-124.723285,1.500000,1,0,215.695543,0
473,246.356029,9.789003,1.500000,1,0,247.667857,0
474,19.358501,-24.252774,1.500000,0,0,38.925552,0
475,88.699980,218.169308,1.500000,1,0,236.680763,0
476,181.943286,135.680021,1.500000,1,0,228.176855,0
477,-169.769797,82.405332,1.500000,1,0,190.170116,0
478,162.653099,36.064801,1.500000,1,0,168.252639,0
